gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00318	CNAG_00318	535.43	0.12299	0.19918	0.92295
CNAG_00319	CNAG_00319	491.33	-0.086593	0.12531	0.91183
CNAG_00320	CNAG_00320	166.1	0.04983	0.12439	0.95922
CNAG_00321	CNAG_00321	65.931	-1.3199	0.81544	0.66269
CNAG_00322	CNAG_00322	235.74	0.06775	0.21004	0.96878
CNAG_00323	CNAG_00323	2.489	0.21669	1.2152	0.98125
CNAG_00326	CNAG_00326	1008.8	0.022829	0.12653	0.98125
CNAG_00327	CNAG_00327	57.023	-0.60632	0.26498	0.43495
CNAG_00328	CNAG_00328	240.87	-0.048767	0.23942	0.97766
CNAG_00329	CNAG_00329	664.36	-0.3585	0.21191	0.63722
CNAG_00330	CNAG_00330	762.33	0.092071	0.15474	0.92593
CNAG_00331	CNAG_00331	143.71	0.22693	0.21598	0.84138
CNAG_00332	SIP4	573.81	0.014364	0.17035	0.99376
CNAG_00333	CNAG_00333	29.174	-0.50732	0.32905	0.68332
CNAG_00334	CNAG_00334	21724	0.14715	0.14766	0.85567
CNAG_00335	CNAG_00335	362.18	-0.030149	0.13635	0.97527
CNAG_00337	CNAG_00337	1094.4	-0.16637	0.13241	0.7847
CNAG_00342	CNAG_00342	504.42	-0.078308	0.12686	0.92295
CNAG_00343	CNAG_00343	64.652	-0.91766	0.30368	0.13413
CNAG_00344	CNAG_00344	93.114	-0.2779	0.18279	0.68968
CNAG_00345	CNAG_00345	442.59	0.039352	0.17509	0.97485
CNAG_00346	CNAG_00346	92.035	-0.13874	0.26693	0.93795
CNAG_00347	CNAG_00347	270.31	-0.17997	0.23369	0.89856
CNAG_00348	CNAG_00348	534.03	0.13071	0.1586	0.8927
CNAG_00349	CNAG_00349	549.92	0.34154	0.2099	0.65973
CNAG_00351	CNAG_00351	252.69	0.10805	0.13539	0.89593
CNAG_00352	CNAG_00352	422.64	0.0089076	0.1643	0.99655
CNAG_00353	LPI16	159.02	0.22577	0.18158	0.78669
CNAG_00354	CNAG_00354	887.7	-0.21013	0.10933	0.55675
CNAG_00355	CNAG_00355	1075.1	-0.14552	0.14523	0.85567
CNAG_00356	CNAG_00356	308.41	0.16556	0.18298	0.88074
CNAG_00357	CNAG_00357	279.15	-0.29986	0.13217	0.4433
CNAG_00358	CNAG_00358	352.6	0.27646	0.12032	0.43078
CNAG_00359	CNAG_00359	442.97	0.20813	0.15125	0.74352
CNAG_00360	CNAG_00360	563.7	0.18109	0.19527	0.8757
CNAG_00361	RVS167	648.68	-0.39505	0.19244	0.51766
