gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00400	NA	659.227	-1.659	0.174	5.8900000000000004e-21
CNAG_00401	NA	185.395	-0.395	0.185	0.04312
CNAG_00402	NA	1066.191	-1.359	0.206	1.061e-10
CNAG_00403	NA	90.288	-2.679	0.222	1.374e-32
CNAG_00404	NA	437.674	-1.547	0.232	7.408e-11
CNAG_00405	KIC1	98.14	0.77	0.217	6.572e-4
CNAG_00406	NA	53.14	-0.578	0.287	0.0576
CNAG_00407	NA	1258.397	-0.202	0.162	0.2506
CNAG_00408	PPH3	1771.259	-2.339	0.136	1.1229999999999999e-64
CNAG_00409	NA	63.27	-0.257	0.267	0.3819
CNAG_00410	NA	291.106	0.368	0.159	0.02798
CNAG_00411	NA	325.064	-0.81	0.162	1.261e-6
CNAG_00413	OFD1	574.817	2.963	0.138	5.375999999999999e-101
CNAG_00414	MAK32	59.269	0.554	0.276	0.05795
CNAG_00415	CDC2801	78.492	0.345	0.213	0.1297
CNAG_00416	NA	95.479	-0.522	0.206	0.016
CNAG_00417	NA	2344.187	0.528	0.114	6.98e-6
CNAG_00418	NA	619.922	3.164	0.211	1.209e-49
CNAG_00419	NA	306.692	0.608	0.309	0.06367
CNAG_00420	NA	108.388	1.448	0.197	5.835e-13
CNAG_00421	NA	1065.769	-1.079	0.183	9.025e-9
CNAG_00422	NA	149.198	1.055	0.173	2.594e-9
CNAG_00423	NA	48.812	-0.36	0.265	0.2075
CNAG_00424	NA	723.98	-1.271	0.198	3.868e-10
CNAG_00425	NA	48.754	2.182	0.289	1.485e-13
CNAG_00426	NA	206.443	-1.615	0.18	1.176e-18
CNAG_00427	PTC5	182.503	1.169	0.249	5.27e-6
CNAG_00428	NA	112.943	-0.224	0.222	0.3585
CNAG_00429	NA	89.216	2.568	0.241	9.784e-26
CNAG_00430	NA	27.101	2.854	0.401	3.253e-12
CNAG_00433	NA	103.023	-3.323	0.275	7.07e-33
CNAG_00434	NA	59.081	3.903	0.333	7.226999999999999e-31
CNAG_00435	NA	59.967	2.408	0.284	7.331e-17
CNAG_00436	NA	240.252	0.037	0.15	0.8368
CNAG_00437	NA	136.239	-0.652	0.193	0.001138
CNAG_00438	NA	85.403	0.319	0.206	0.1494
CNAG_00439	NA	145.966	0.761	0.202	2.83e-4
CNAG_00440	SSN801	99.594	-0.415	0.196	0.046
CNAG_00441	IMD1	1377.255	2.618	0.149	1.6939999999999995e-67
CNAG_00442	NA	441.863	1.032	0.152	3.055e-11
CNAG_00443	NA	39.502	-0.958	0.274	7.545e-4
CNAG_00444	NA	51.984	1.225	0.267	8.501e-6
CNAG_00445	NHP6B01	1009.333	0.399	0.16	0.01787
CNAG_00446	NA	5.715	2.142	0.753	0.006573
CNAG_00447	NA	498.972	2.039	0.135	1.121e-50
CNAG_00448	NA	192.053	0.158	0.183	0.4352
CNAG_00449	NA	237.783	2.143	0.164	3.233e-38
CNAG_00450	LEU2	670.469	0.783	0.201	1.645e-4
CNAG_00451	NA	25.967	2.195	0.362	3.409e-9
CNAG_00452	NA	62.403	-1.673	0.25	6.344e-11
CNAG_00453	NA	8273.432	5.261	0.142	6.421999999999996e-296
CNAG_00454	NA	59.591	4.065	0.385	2.547e-25
CNAG_00455	UBP16	413.165	0.672	0.189	6.03e-4
CNAG_00456	ISP6	577.422	1.277	0.182	6.592e-12
CNAG_00457	GLN1	9659.607	-1.772	0.173	8.382e-24
CNAG_00458	NA	916.436	-0.979	0.16	2.119e-9
CNAG_00460	LIV1	128.869	-0.001	0.334	0.9982
CNAG_00461	NA	322.538	0.045	0.163	0.8141
CNAG_00462	NA	200.86	-0.044	0.186	0.8406
CNAG_00463	NA	24.203	1.331	0.965	0.2013
CNAG_00464	NA	408.358	0.112	0.153	0.5125
CNAG_00465	NA	6904.538	-2.608	0.164	7.426999999999999e-56
CNAG_00466	NA	59.575	-0.077	0.222	0.7652
CNAG_00467	NA	74.651	0.142	0.237	0.5946
CNAG_00468	NA	207.711	-0.31	0.229	0.2109
CNAG_00469	NA	296.314	-1.052	0.14	1.895e-13
CNAG_00470	NA	437.493	-1.996	0.164	3.498e-33
CNAG_00471	NA	271.94	1.212	0.191	5.321e-10
CNAG_00472	NA	56.101	2.124	0.284	2.26e-13
CNAG_00473	OST2	143.232	1.053	0.176	5.689e-9
CNAG_00474	NA	66.687	-2.059	0.258	4.434e-15
CNAG_00475	NA	100.079	0.279	0.232	0.2681
CNAG_00476	NA	31.256	-0.177	0.376	0.6791
CNAG_00480	NA	267.399	-1.339	0.162	4.952e-16
CNAG_00481	NA	0.187	0.984	3.361	0.8018
CNAG_00482	NA	135.597	-1.522	0.198	5.001e-14
CNAG_00483	ACT1	2855.091	-1.5	0.185	2.029e-15
CNAG_00484	NA	147.148	-0.749	0.233	0.00205
CNAG_00485	NA	1411.191	-0.025	0.15	0.8889
CNAG_00486	NA	240.758	1.541	0.167	1.104e-19
CNAG_00487	NA	78.608	1.007	0.281	5.769e-4
CNAG_00488	NA	85.937	-3.902	0.292	8.842e-40
CNAG_00490	NA	1258.342	-6.138	0.213	1.2899999999999996e-180
CNAG_00491	NA	643.367	-3.395	0.162	6.537e-96
CNAG_00492	NA	90.022	-0.304	0.219	0.1999
CNAG_00493	NA	169.794	-0.427	0.238	0.09238
CNAG_00495	NA	218.083	-0.207	0.164	0.2429
CNAG_00496	NA	155.66	0.709	0.17	5.287e-5
CNAG_00497	NA	336.575	-5.826	0.264	4.553999999999999e-106
CNAG_00498	CDC14	79.442	-4.613	0.36	8.723e-37
CNAG_00499	NA	331.861	-4.209	0.208	6.69e-90
CNAG_00500	PTC1	1008.282	-1.585	0.202	1.507e-14
CNAG_00501	NA	11.399	-0.181	0.444	0.7231
CNAG_00502	NA	145.619	1.458	0.209	8.464e-12
CNAG_00503	NA	1645.027	-2.037	0.125	5.798e-59
CNAG_00504	NA	136.466	1.751	0.196	1.855e-18
CNAG_00505	FZC28	81.093	1.537	0.235	1.592e-10
CNAG_00506	NA	138.064	0.19	0.209	0.4102
CNAG_00508	VPS17	252.113	-1.257	0.156	2.253e-15
CNAG_00509	NA	249.76	1.867	0.176	1.348e-25
CNAG_00510	NA	189.111	-0.046	0.176	0.8215
CNAG_00511	NA	22.862	-0.955	0.326	0.005046
CNAG_00512	NA	126.371	2.141	0.187	1.403e-29
CNAG_00513	NA	250.372	2.887	0.214	1.072e-40
CNAG_00514	NA	247.442	0.792	0.153	4.517e-7
CNAG_00515	NA	256.32	0.072	0.208	0.7656
CNAG_00516	PEX7	52.283	-2.107	0.27	2.1e-14
CNAG_00517	NA	235.291	0.076	0.165	0.6868
CNAG_00519	ERG3	142.224	0.165	0.21	0.4798
CNAG_00520	NA	227.567	1.463	0.24	2.687e-9
CNAG_00521	NA	400.065	-1.797	0.157	1.2279999999999999e-29
CNAG_00522	NA	926.47	-3.625	0.214	1.9899999999999996e-63
CNAG_00523	NA	150.843	0.382	0.215	0.09492
CNAG_00524	NA	334.236	-3.609	0.247	2.2039999999999997e-47
CNAG_00525	NA	98.973	0.046	0.194	0.8397
CNAG_00526	NA	461.787	-2.338	0.212	1.211e-27
CNAG_00527	NA	413.167	0.385	0.215	0.09329
CNAG_00528	NA	168.056	-1.056	0.184	2.07e-8
CNAG_00529	NA	114.316	-0.037	0.271	0.9114
CNAG_00531	ENA1	2954.232	-1.441	0.152	9.52e-21
CNAG_00532	NA	123.93	1.311	0.184	3.391e-12
CNAG_00533	TIM50	319.573	0.817	0.143	2.772e-8
CNAG_00534	NA	634.901	1.102	0.182	3.392e-9
CNAG_00535	NA	204.392	1.797	0.162	8.476e-28
CNAG_00536	NA	476.341	1.267	0.156	1.704e-15
